OurLabID,Sample ID,d2H,Comment,sampleType,Band,Location,date,Time,Species,Band Size,RFID,L Leg,R Leg,Age,Sex,Mass,Fat,Bill Depth,Wing,Tail,Tarsus,Bander,Band String Permit,Notes,ID,decimalLatitude,decimalLongitude
G-57710,2831-20387f,-107.83,,Feather,2831-20387,Alta,2020-05-01T00:00:00Z,1899-12-31T10:37:00Z,BLRF,1B,01103FE360,Yellow RFID,Aluminum,Second Year,Unknown,22.2,0,-,97,59,19.66,KSS,Rushing,,X2831.20387f,40.590428,-111.63723
G-57711,2831-20387c,-69.56,,Claw,2831-20387,Alta,2020-05-01T00:00:00Z,1899-12-31T10:37:00Z,BLRF,1B,01103FE360,Yellow RFID,Aluminum,Second Year,Unknown,22.2,0,-,97,59,19.66,KSS,Rushing,,X2831.20387c,40.590428,-111.63723
G-57712,2831-20391f,-52.81,,Feather,2831-20391,Alta,2020-05-01T00:00:00Z,1899-12-31T11:08:00Z,BLRF,1B,01103FE3C9,Yellow RFID,Aluminum,After Second Year,Male,23.5,0,-,108,73,19.87,KSS,Rushing,,X2831.20391f,40.590428,-111.63723
G-57713,2831-20391c,-33.61,,Claw,2831-20391,Alta,2020-05-01T00:00:00Z,1899-12-31T11:08:00Z,BLRF,1B,01103FE3C9,Yellow RFID,Aluminum,After Second Year,Male,23.5,0,-,108,73,19.87,KSS,Rushing,,X2831.20391c,40.590428,-111.63723
G-57714,2831-20390f,-60.02,,Feather,2831-20390,Alta,2020-05-01T00:00:00Z,1899-12-31T11:08:00Z,BLRF,1B,01103FE4FA,Yellow RFID,Aluminum,After Second Year,Male,23.7,0,-,109,64,20.39,KSS,Rushing,,X2831.20390f,40.590428,-111.63723
G-57715,2831-20390c,-71.43,,Claw,2831-20390,Alta,2020-05-01T00:00:00Z,1899-12-31T11:08:00Z,BLRF,1B,01103FE4FA,Yellow RFID,Aluminum,After Second Year,Male,23.7,0,-,109,64,20.39,KSS,Rushing,,X2831.20390c,40.590428,-111.63723
G-57716,2831-20392f,-109.14,,Feather,2831-20392,Alta,2020-05-01T00:00:00Z,1899-12-31T11:44:00Z,BLRF,1B,01103FE095,Yellow RFID,Aluminum,Second Year,Female,25.3,0,-,102,62,19.16,KSS,Rushing,,X2831.20392f,40.590428,-111.63723
G-57717,2831-20392c,-71.72,,Claw,2831-20392,Alta,2020-05-01T00:00:00Z,1899-12-31T11:44:00Z,BLRF,1B,01103FE095,Yellow RFID,Aluminum,Second Year,Female,25.3,0,-,102,62,19.16,KSS,Rushing,,X2831.20392c,40.590428,-111.63723
G-57718,2831-20342f,-106.29,,Feather,2831-20342,Powder Mountain,2020-04-15T00:00:00Z,1899-12-31T10:25:00Z,BLRF,1B,01103FDF3A,Green RFID,Aluminum,Second Year,Female,29.3,2,-,101,68,20.13,KSS,Rushing,,X2831.20342f,41.370703,-111.768111
G-57719,2831-20342c,-101.3,,Claw,2831-20342,Powder Mountain,2020-04-15T00:00:00Z,1899-12-31T10:25:00Z,BLRF,1B,01103FDF3A,Green RFID,Aluminum,Second Year,Female,29.3,2,-,101,68,20.13,KSS,Rushing,,X2831.20342c,41.370703,-111.768111
G-57720,2831-20389f,-113.71,,Feather,2831-20389,Alta,2020-05-01T00:00:00Z,1899-12-31T11:08:00Z,BLRF,1B,01103FD8C2,Yellow RFID,Aluminum,Second Year,Male,26.6,0,-,102,58,21.15,KSS,Rushing,,X2831.20389f,40.590428,-111.63723
G-57721,2831-20389c,-89.22,,Claw,2831-20389,Alta,2020-05-01T00:00:00Z,1899-12-31T11:08:00Z,BLRF,1B,01103FD8C2,Yellow RFID,Aluminum,Second Year,Male,26.6,0,-,102,58,21.15,KSS,Rushing,,X2831.20389c,40.590428,-111.63723
G-64070,2831-20433f,-79.02,,Feather,2831-20433,Powder Mountain,2021-01-28T00:00:00Z,,BLRF,,01103FE1D8,,A,SY,Male,,,,,,,,,,X2831.20433f,41.370703,-111.768111
G-64071,2441-20548f,-55.53,,Feather,2441-20548,Dutch John,2021-01-29T00:00:00Z,,BLRF,,,,,ASY,Female,,,,,,,,,,X2441.20548f,40.929955,-109.389239
G-64072,2441-20541f,-73.09,,Feather,2441-20541,Dutch John,2021-01-29T00:00:00Z,,BLRF,,,,,ASY,Female,,,,,,,,,,X2441.20541f,40.929955,-109.389239
G-64073,2441-20521f,-66.84,,Feather,2441-20521,Dutch John,2021-01-20T00:00:00Z,,BLRF,,,,,ASY,Male,,,,,,,,,,X2441.20521f,40.929955,-109.389239
G-64074,2441-20530f,-60.26,,Feather,2441-20530,Dutch John,2021-01-29T00:00:00Z,,BLRF,,,,,ASY,Female,,,,,,,,,,X2441.20530f,40.929955,-109.389239
G-64075,2441-20522f,-56.3,,Feather,2441-20522,Dutch John,2021-01-20T00:00:00Z,,BLRF,,,,,ASY,Male,,,,,,,,,,X2441.20522f,40.929955,-109.389239
G-64076,2441-20542f,-69.19,,Feather,2441-20542,Dutch John,2021-01-29T00:00:00Z,,BLRF,,,,,ASY,Female,,,,,,,,,,X2441.20542f,40.929955,-109.389239
G-64077,2441-20533f,-75.86,,Feather,2441-20533,Dutch John,2021-01-29T00:00:00Z,,BLRF,,,,,ASY,Male,,,,,,,,,,X2441.20533f,40.929955,-109.389239
G-64078,2831-20457f,-85.37,,Feather,2831-20457,Powder Mountain,2021-02-11T00:00:00Z,,BLRF,,01103FE5DD,,A,SY,Male,,,,,,,,,,X2831.20457f,41.370703,-111.768111
G-64079,2441-20569f,-82.93,,Feather,2441-20569,Dutch John,2021-02-05T00:00:00Z,,BLRF,,,,,ASY,Female,,,,,,,,,,X2441.20569f,40.929955,-109.389239
G-64080,2441-20562f,-63.31,,Feather,2441-20562,Dutch John,2021-02-05T00:00:00Z,,BLRF,,,,,ASY,Female,,,,,,,,,,X2441.20562f,40.929955,-109.389239
G-64081,2441-20573f,-74.86,,Feather,2441-20573,Dutch John,2021-02-17T00:00:00Z,,BLRF,,3B00497951,,A,ASY,Male,,,,,,,,,,X2441.20573f,40.929955,-109.389239
G-64082,2441-20584f,-71.9,,Feather,2441-20584,Dutch John,2021-02-17T00:00:00Z,,BLRF,,3B00187B59,,A,ASY,Male,,,,,,,,,,X2441.20584f,40.929955,-109.389239
G-64083,2441-20609f,-69.27,,Feather,2441-20609,Dutch John,2021-02-24T00:00:00Z,,BLRF,,3B001904BD,,A,ASY,Female,,,,,,,,,,X2441.20609f,40.929955,-109.389239
G-64084,2441-20608f,-64.56,,Feather,2441-20608,Dutch John,2021-02-24T00:00:00Z,,BLRF,,3B0018DE1D,,A,ASY,Male,,,,,,,,,,X2441.20608f,40.929955,-109.389239
G-64085,2441-20625f,-54.74,,Feather,2441-20625,Dutch John,2021-02-24T00:00:00Z,,BLRF,,3B00190B58,,A,ASY,Male,,,,,,,,,,X2441.20625f,40.929955,-109.389239
G-64086,2441-20646f,-82.23,flight feather,Feather,2441-20646,Dutch John,2021-03-09T00:00:00Z,,BLRF,,3B00184E0B,,A,ASY,Female,,,,,,,,,,X2441.20646f,40.929955,-109.389239
G-64087,2441-20656f,-81.88,,Feather,2441-20656,Dutch John,2021-03-09T00:00:00Z,,BLRF,,3B001855A3,,A,ASY,Female,,,,,,,,,,X2441.20656f,40.929955,-109.389239
G-64088,2441-20654f,-61.02,,Feather,2441-20654,Dutch John,2021-03-09T00:00:00Z,,BLRF,,3B00189A36,,A,ASY,Male,,,,,,,,,,X2441.20654f,40.929955,-109.389239
G-64089,2441-20672f,-63.9,,Feather,2441-20672,Dutch John,2021-03-15T00:00:00Z,,BLRF,,3B00491EC0,,A,ASY,Female,,,,,,,,,,X2441.20672f,40.929955,-109.389239
G-64090,2441-20663f,-65.95,,Feather,2441-20663,Dutch John,2021-03-15T00:00:00Z,,BLRF,,3B0048DBAD,,A,ASY,Male,,,,,,,,,,X2441.20663f,40.929955,-109.389239
G-64091,2541-44378f,-52.21,,Feather,2541-44378,Alta Town Office,2021-03-19T00:00:00Z,,BLRF,,01103FB119,,A,ASY,Female,,,,,,,,,,X2541.44378f,40.590428,-111.63723
G-64092,2541-44369f,-55.28,,Feather,2541-44369,Alta Town Office,2021-03-19T00:00:00Z,,BLRF,,01103F3EE8,,A,ASY,Male,,,,,,,,,,X2541.44369f,40.590428,-111.63723
G-64093,2441-20673f,-57.43,,Feather,2441-20673,Dutch John,2021-03-23T00:00:00Z,,BLRF,,3B004AE858,,A,ASY,Male,,,,,,,,,,X2441.20673f,40.929955,-109.389239
G-64094,2261-06008f,-63.64,,Feather,2261-06008,Alta Town Office,2021-04-02T00:00:00Z,,BLRF,,01103FE786,,A,SY,Female,,,,,,,,,,X2261.06008f,40.590428,-111.63723
G-64095,2261-06015f,-37.03,,Feather,2261-06015,Alta Town Office,2021-04-02T00:00:00Z,,BLRF,,01103FE116,,A,ASY,Female,,,,,,,,,,X2261.06015f,40.590428,-111.63723
G-64096,2261-06004f,-40.44,,Feather,2261-06004,Alta Town Office,2021-04-02T00:00:00Z,,BLRF,,01103FE367,,A,SY,Male,,,,,,,,,,X2261.06004f,40.590428,-111.63723
G-64097,2261-06020f,-57.1,,Feather,2261-06020,Alta Town Office,2021-04-02T00:00:00Z,,BLRF,,01103FDD72,,A,SY,Male,,,,,,,,,,X2261.06020f,40.590428,-111.63723
G-64098,2261-06027f,-41.36,,Feather,2261-06027,Alta Town Office,2021-04-30T00:00:00Z,,BLRF,,01103FE5F7,,A,ASY,Female,,,,,,,,,,X2261.06027f,40.590428,-111.63723
G-64099,2261-06028f,-55.78,,Feather,2261-06028,Alta Town Office,2021-04-30T00:00:00Z,,BLRF,,01103F534D,,A,ASY,Female,,,,,,,,,,X2261.06028f,40.590428,-111.63723
G-64100,2261-06029f,-65.42,,Feather,2261-06029,Alta Town Office,2021-04-30T00:00:00Z,,BLRF,,01103F5CE5,,A,ASY,Female,,,,,,,,,,X2261.06029f,40.590428,-111.63723
G-64101,2261-06033f,-42.03,,Feather,2261-06033,Alta Town Office,2021-04-30T00:00:00Z,,BLRF,,01103FCB95,,A,SY,Male,,,,,,,,,,X2261.06033f,40.590428,-111.63723
G-64102,2831-20433c,-70.35,,Claw,2831-20433,Powder Mountain,2021-01-28T00:00:00Z,,BLRF,,01103FE1D8,,A,SY,Male,,,,,,,,,,X2831.20433c,41.370703,-111.768111
G-64103,2441-20548c,-71.7,,Claw,2441-20548,Dutch John,2021-01-29T00:00:00Z,,BLRF,,,,,ASY,Female,,,,,,,,,,X2441.20548c,40.929955,-109.389239
G-64104,2441-20541c,-84.91,,Claw,2441-20541,Dutch John,2021-01-29T00:00:00Z,,BLRF,,,,,ASY,Female,,,,,,,,,,X2441.20541c,40.929955,-109.389239
G-64105,2441-20521c,-71.92,,Claw,2441-20521,Dutch John,2021-01-20T00:00:00Z,,BLRF,,,,,ASY,Male,,,,,,,,,,X2441.20521c,40.929955,-109.389239
G-64106,2441-20530c,-71.96,,Claw,2441-20530,Dutch John,2021-01-29T00:00:00Z,,BLRF,,,,,ASY,Female,,,,,,,,,,X2441.20530c,40.929955,-109.389239
G-64107,2441-20522c,-72.69,,Claw,2441-20522,Dutch John,2021-01-20T00:00:00Z,,BLRF,,,,,ASY,Male,,,,,,,,,,X2441.20522c,40.929955,-109.389239
G-64108,2441-20542c,-60.05,,Claw,2441-20542,Dutch John,2021-01-29T00:00:00Z,,BLRF,,,,,ASY,Female,,,,,,,,,,X2441.20542c,40.929955,-109.389239
G-64109,2441-20533c,-74.14,,Claw,2441-20533,Dutch John,2021-01-29T00:00:00Z,,BLRF,,,,,ASY,Male,,,,,,,,,,X2441.20533c,40.929955,-109.389239
G-64110,2831-20457c,-72.76,,Claw,2831-20457,Powder Mountain,2021-02-11T00:00:00Z,,BLRF,,01103FE5DD,,A,SY,Male,,,,,,,,,,X2831.20457c,41.370703,-111.768111
