Foraging.Substrate,Migratory,slope,intercept
Ground,Neotropical,0.721917422064777,-9.24982751127476
Ground,Short distance,0.721917422064777,-10.3336231022919
Ground,Resident,0.721917422064777,-16.3292305374573
Non-Ground,Neotropical,0.721917422064777,-15.6672084340217
Non-Ground,Short distance,0.721917422064777,-20.1169237242711
Non-Ground,Resident,0.721917422064777,-2.65985927065676
